time,duration,value
16.000000,2.000000,C:min7
18.000000,2.000000,F:7
20.000000,2.000000,Bb:maj7
22.000000,2.000000,Eb:maj7
24.000000,2.000000,A:hdim7
26.000000,2.000000,D:7(b13)
28.000000,2.000000,G:min6
30.000000,2.000000,G:min6
32.000000,2.000000,C:min7
34.000000,2.000000,F:7
36.000000,2.000000,Bb:maj7
38.000000,2.000000,Eb:maj7
40.000000,2.000000,A:hdim7
42.000000,2.000000,D:7(b13)
44.000000,2.000000,G:min6
46.000000,2.000000,G:min6
48.000000,2.000000,A:hdim7
50.000000,2.000000,D:7(b13)
52.000000,1.000000,G:min6
53.000000,1.000000,G:min6
54.000000,2.000000,G:min6
56.000000,0.250000,C:min7
56.250000,1.750000,C:min7
58.000000,1.500000,F:7
59.500000,0.500000,F:7
60.000000,2.000000,Bb:maj7
62.000000,2.000000,Eb:maj7
64.000000,0.250000,A:hdim7
64.250000,1.750000,A:hdim7
66.000000,2.000000,D:7(b13)
68.000000,1.000000,G:min6
69.000000,0.500000,Gb:7
69.500000,0.500000,Gb:7
70.000000,1.000000,F:min7
71.000000,0.250000,E:7
71.250000,0.750000,E:7
72.000000,2.000000,A:hdim7
74.000000,2.000000,D:7(b13)
76.000000,2.000000,G:min6
78.000000,2.000000,G:min6
80.000000,0.250000,C:min7
80.250000,1.750000,C:min7
82.000000,1.250000,F:7
83.250000,0.750000,F:7
84.000000,1.250000,Bb:maj7
85.250000,0.750000,Bb:maj7
86.000000,2.000000,Eb:maj7
88.000000,2.000000,A:hdim7
90.000000,0.250000,D:7(b13)
90.250000,1.750000,D:7(b13)
92.000000,2.000000,G:min6
94.000000,2.000000,G:min6
96.000000,2.000000,C:min7
98.000000,2.000000,F:7
100.000000,2.000000,Bb:maj7
102.000000,2.000000,Eb:maj7
104.000000,1.250000,A:hdim7
105.250000,0.750000,A:hdim7
106.000000,2.000000,D:7(b13)
108.000000,2.000000,G:min6
110.000000,2.000000,G:min6
112.000000,2.000000,A:hdim7
114.000000,2.000000,D:7(b13)
116.000000,2.000000,G:min6
118.000000,2.000000,G:min6
120.000000,0.250000,C:min7
120.250000,1.750000,C:min7
122.000000,1.500000,F:7
123.500000,0.500000,F:7
124.000000,2.000000,Bb:maj7
126.000000,2.000000,Eb:maj7
128.000000,2.000000,A:hdim7
130.000000,2.000000,D:7(b13)
132.000000,1.000000,G:min6
133.000000,1.000000,Gb:7
134.000000,1.000000,F:min7
135.000000,1.000000,E:7
136.000000,2.000000,A:hdim7
138.000000,2.000000,D:7(b13)
140.000000,2.000000,G:min6
