time,duration,value
8.000000,1.000000,A:min7
9.000000,1.000000,A:7
10.000000,2.000000,D:min7
12.000000,2.000000,G:7
14.000000,1.000000,C:maj7
15.000000,1.000000,C:7
16.000000,2.000000,F:maj
18.000000,2.000000,B:hdim7
20.000000,1.000000,E:maj
21.000000,1.000000,E:7
22.000000,1.500000,A:min
23.500000,0.500000,A:7
24.000000,2.000000,D:min7
26.000000,1.000000,G:maj
27.000000,1.000000,G:7
28.000000,1.000000,C:maj7
29.000000,1.000000,F:maj7
30.000000,1.000000,E:min7
31.000000,1.000000,A:7
32.000000,3.500000,D:min7
35.500000,0.500000,G:7
36.000000,2.000000,C:maj7
38.000000,1.000000,B:min7
39.000000,1.000000,E:7
40.000000,1.000000,A:min7
41.000000,1.000000,A:7
42.000000,2.000000,D:min7
44.000000,2.000000,G:7
46.000000,1.000000,C:maj7
47.000000,1.000000,C:7
48.000000,2.000000,F:maj
50.000000,2.000000,B:hdim7
52.000000,1.000000,E:maj
53.000000,1.000000,E:7
54.000000,1.500000,A:min
55.500000,0.500000,A:7
56.000000,2.000000,D:min7
58.000000,1.000000,G:maj
59.000000,1.000000,G:7
60.000000,1.000000,C:maj7
61.000000,1.000000,Bb:9
62.000000,1.000000,A:7(11)
63.000000,1.000000,A:7
64.000000,1.000000,A:min7
65.000000,1.000000,C:dim
66.000000,1.000000,F:maj7
67.000000,1.000000,G:7
68.000000,2.000000,C:maj7
70.000000,1.000000,B:min7
71.000000,1.000000,E:7
72.000000,1.000000,A:min7
73.000000,1.000000,A:7
74.000000,2.000000,D:min7
76.000000,2.000000,G:7
78.000000,1.000000,C:maj7
79.000000,1.000000,C:7
80.000000,2.000000,F:maj
82.000000,2.000000,B:hdim7
84.000000,1.000000,E:maj
85.000000,1.000000,E:7
86.000000,1.500000,A:min
87.500000,0.500000,A:7
88.000000,2.000000,D:min7
90.000000,1.000000,G:maj
91.000000,1.000000,G:7
92.000000,1.000000,C:maj7
93.000000,1.000000,F:maj7
94.000000,1.000000,E:min7
95.000000,1.000000,A:7
96.000000,2.000000,D:min7
98.000000,2.000000,G:7
100.000000,2.250000,C:maj7
102.250000,1.750000,E:7(11)
104.000000,1.000000,A:min7
105.000000,1.000000,A:7
106.000000,2.000000,D:min7
108.000000,2.000000,G:7
110.000000,1.000000,C:maj7
111.000000,1.000000,C:7
112.000000,2.000000,F:maj
114.000000,2.000000,B:hdim7
116.000000,1.000000,E:maj
117.000000,1.000000,E:7
118.000000,1.500000,A:min
119.500000,0.500000,A:7
120.000000,2.000000,D:min7
122.000000,1.000000,G:maj
123.000000,1.000000,G:7
124.000000,2.000000,E:hdim7
126.000000,2.000000,A:7
128.000000,2.000000,D:min7
130.000000,2.000000,G:7
132.000000,1.000000,F:min7
133.000000,1.000000,Bb:9
134.000000,1.000000,G:min7
135.000000,1.000000,Bb:7
136.000000,2.000000,G:min7
138.000000,5.500000,G:7
143.500000,0.500000,C:maj
