time,duration,value
0.000000,2.051282,C:maj6
2.051282,2.051282,E:7
4.102564,2.051282,F:maj6
6.153846,1.025641,G:7
7.179487,1.025641,G#:dim7
8.205128,2.051282,A:min7
10.256410,2.051282,D:7
12.307692,1.025641,D:min7
13.333333,1.025641,G:7
14.358974,1.025641,C:maj7
15.384615,1.025641,G:7
16.410256,2.051282,C:maj6
18.461538,2.051282,E:7
20.512821,2.051282,F:maj6
22.564103,1.025641,G:7
23.589744,1.025641,G#:dim7
24.615385,2.051282,A:min7
26.666667,2.051282,D:7
28.717949,1.025641,D:min7
29.743590,1.025641,G:7
30.769231,1.025641,C:maj7
31.794872,1.025641,G:7
32.820513,2.051282,C:maj6
34.871795,2.051282,E:7
36.923077,2.051282,F:maj6
38.974359,1.025641,G:7
40.000000,1.025641,G#:dim7
41.025641,2.051282,A:min7
43.076923,2.051282,D:7
45.128205,1.025641,D:min7
46.153846,1.025641,G:7
47.179487,0.512821,C:maj6
47.692308,0.512821,Bb:9
48.205128,0.512821,A:min7
48.717949,0.512821,Ab:7
49.230769,2.051282,G:min7
51.282051,2.051282,C:min7
53.333333,2.051282,F:maj7
55.384615,2.051282,F:maj6
57.435897,2.051282,A:min7
59.487179,2.051282,D:7
61.538462,2.051282,G:7
63.589744,2.051282,G:7
65.641026,2.051282,C:maj6
67.692308,2.051282,E:7
69.743590,2.051282,F:maj6
71.794872,1.025641,G:7
72.820513,1.025641,G#:dim7
73.846154,2.051282,A:min7
75.897436,2.051282,D:7
77.948718,1.025641,D:min7
78.974359,1.025641,G:7
80.000000,1.025641,C:maj6
81.025641,1.025641,G:7
82.051282,2.051282,C:maj6
84.102564,2.051282,E:7
86.153846,2.051282,F:maj6
88.205128,1.025641,G:7
89.230769,1.025641,G#:dim7
90.256410,2.051282,A:min7
92.307692,2.051282,D:7
94.358974,1.025641,D:min7
95.384615,1.025641,G:7
96.410256,1.025641,C:maj7
97.435897,1.025641,G:7
98.461538,2.051282,C:maj6
100.512821,2.051282,E:7
102.564103,2.051282,F:maj6
104.615385,1.025641,G:7
105.641026,1.025641,G#:dim7
106.666667,2.051282,A:min7
108.717949,2.051282,D:7
110.769231,1.025641,D:min7
111.794872,1.025641,G:7
112.820513,0.512821,C:maj6
113.333333,0.512821,Bb:9
113.846154,0.512821,A:min7
114.358974,0.512821,Ab:7
114.871795,2.051282,G:min7
116.923077,2.051282,C:min7
118.974359,2.051282,F:maj7
121.025641,2.051282,F:maj6
123.076923,2.051282,A:min7
125.128205,2.051282,D:7
127.179487,2.051282,G:7
129.230769,2.051282,G:7
131.282051,2.051282,C:maj6
133.333333,2.051282,E:7
135.384615,2.051282,F:maj6
137.435897,1.025641,G:7
138.461538,1.025641,G#:dim7
139.487179,2.051282,A:min7
141.538462,2.051282,D:7
143.589744,1.025641,D:min7
144.615385,1.025641,G:7
145.641026,1.025641,C:maj6
146.666667,1.025641,G:7
147.692308,2.051282,C:maj6
149.743590,2.051282,E:7
151.794872,2.051282,F:maj6
153.846154,1.025641,G:7
154.871795,1.025641,G#:dim7
155.897436,2.051282,A:min7
157.948718,2.051282,D:7
160.000000,1.025641,D:min7
161.025641,1.025641,G:7
162.051282,1.025641,C:maj7
163.076923,1.025641,G:7
164.102564,2.051282,C:maj6
166.153846,2.051282,E:7
168.205128,2.051282,F:maj6
170.256410,1.025641,G:7
171.282051,1.025641,G#:dim7
172.307692,2.051282,A:min7
174.358974,2.051282,D:7
176.410256,1.025641,D:min7
177.435897,1.025641,G:7
178.974359,0.512821,Bb:9
180.000000,0.512821,Ab:7
180.512821,2.051282,G:min7
182.564103,2.051282,C:min7
184.615385,2.051282,F:maj7
186.666667,2.051282,F:maj6
188.717949,2.051282,A:min7
190.769231,2.051282,D:7
192.820513,1.025641,G:7
193.846154,1.025641,D:min7
194.871795,2.051282,G:7
196.923077,2.051282,C:maj6
198.974359,2.051282,E:7
201.025641,2.051282,F:maj6
203.076923,1.025641,G:7
204.102564,1.025641,G#:dim7
205.128205,2.051282,A:min7
207.179487,2.051282,D:7
209.230769,1.025641,D:min7
210.256410,1.025641,G:7
211.282051,1.025641,C:maj7
212.307692,1.025641,G:7
213.333333,2.051282,C:maj6
215.384615,2.051282,E:7
217.435897,2.051282,F:maj6
219.487179,1.025641,G:7
220.512821,1.025641,G#:dim7
221.538462,2.051282,A:min7
223.589744,2.051282,D:7
225.641026,1.025641,D:min7
227.435897,0.256410,C:maj6
