time,duration,value
0.161290,1.129032,E:hdim7
2.741935,1.129032,D:min7
3.870968,1.451613,Db:maj7
5.322581,1.129032,C:min7
6.451613,1.451613,F:7
7.903226,1.612903,Bb:maj7
9.516129,0.967742,F:min7
10.483871,1.129032,E:hdim7
11.612903,1.451613,Eb:maj7
13.064516,1.129032,D:min7
14.193548,1.451613,Db:maj7
15.645161,1.129032,C:min7
16.774194,1.451613,F:7
18.225806,1.612903,Bb:maj7
20.806452,2.580645,C:min7
23.387097,2.580645,G:min7/7
28.548387,1.129032,G:min7
29.677419,0.483871,D:min
30.161290,0.967742,Db:9
31.129032,2.580645,C:min7
33.709677,2.580645,G:min7/7
36.290323,2.580645,D:min7
38.870968,1.129032,F:min7
40.000000,1.451613,G:min/3
41.451613,2.580645,Eb:maj7
44.032258,2.580645,Ab:maj7
46.612903,2.580645,Db:maj7
49.193548,2.580645,Gb:maj7
51.774194,2.580645,Eb:min7
54.354839,2.580645,Ab:7
56.935484,1.129032,Db:maj7
58.064516,1.451613,Gb:maj7
59.516129,1.129032,C:min7
60.645161,1.451613,Eb:maj9/1
62.096774,2.580645,Bb:maj7
64.677419,2.580645,C:min7
67.258065,2.580645,C:min7(11)/3
69.838710,1.129032,E:hdim7
70.967742,37.580645,Db:aug/5
