time,duration,value
8.230088,0.265487,C#:min7/3
12.212389,0.530973,C#:min7
12.743363,3.716814,C#:min7/3
16.460177,0.530973,E:maj/2
16.991150,3.716814,A:maj(9)
20.707965,0.530973,C#:min7
21.238938,0.398230,C#:min7(9)/1
21.637168,3.982301,C#:min7
25.619469,0.398230,A:maj
27.743363,0.398230,A:maj
29.867257,0.398230,A:maj
30.265487,1.592920,B:maj
31.858407,0.530973,A:maj
32.389381,0.663717,B:maj
33.053097,0.398230,A:maj/2
33.451327,0.530973,B:maj/2
33.982301,4.247788,"E:maj(6,9)"
38.230088,4.247788,C#:min7
42.477876,4.247788,"E:maj(6,9)"
46.725664,4.247788,C#:min7
50.973451,4.247788,F#:7(11)
55.221239,4.247788,"E:maj(6,9)"
59.469027,4.247788,"E:maj(6,9)"
63.716814,4.247788,G#:min7
67.964602,4.247788,A:maj7(9)
72.212389,4.247788,F#:min7(b5)
76.460177,4.247788,"E:maj(6,9)"
80.707965,4.247788,G#:min7
84.955752,4.247788,A:maj7(9)
89.203540,4.247788,F#:min7(b5)
93.451327,4.247788,E:min7(9)
97.699115,4.247788,A:min7(9)
101.946903,4.247788,D:min7(9)
106.194690,4.247788,C:7(b13)/7
110.442478,8.495575,"E:maj(6,9)"
118.938053,8.495575,A:maj(9)
127.433628,8.495575,"E:maj(6,9)"
135.929204,8.495575,A:maj(9)
144.424779,8.495575,"E:maj(6,9)"
152.920354,6.371681,A:maj
159.292035,0.398230,A:maj
159.690265,0.663717,B:maj
161.283186,0.132743,B:maj/2
161.415929,4.247788,"E:maj(6,9)"
165.663717,4.247788,C#:min7
169.911504,4.247788,"E:maj(6,9)"
174.159292,4.247788,G#:min7
178.407080,4.247788,A:maj7(9)
182.654867,4.247788,F#:min7(b5)
186.902655,4.247788,"E:maj(6,9)"
191.150442,4.247788,G#:min7
195.398230,4.247788,A:maj7(9)
199.646018,4.247788,F#:min7(b5)
203.893805,4.247788,E:min7(9)
208.141593,4.247788,A:min7(9)
212.389381,4.247788,D:min7(9)
216.637168,4.247788,C:7(b13)/7
220.884956,4.247788,A:min7(9)
225.132743,4.247788,D:min7(9)
229.380531,4.247788,G:min7(9)
233.628319,4.247788,F:7(b13)/6
237.876106,4.247788,D:min7(9)
242.123894,4.247788,G:min7(9)
246.371681,4.247788,C:min7(9)
250.619469,2.123894,D:7(b5)
252.743363,2.123894,E:7(b5)
254.867257,42.477876,"E:maj(6,9)"
